,district,name,state,chamber,party,incumbent
0,District 1,Robert Kennedy Jr.,Alabama,house,Democratic Party,False
1,District 1,Bradley Byrne,Alabama,house,Republican Party,True
2,District 2,Tabitha Isner,Alabama,house,Democratic Party,False
3,District 2,Martha Roby,Alabama,house,,True
4,District 3,Mallory Hagan,Alabama,house,Democratic Party,False
5,District 3,Mike Rogers,Alabama,house,Alabama Party,True
6,District 4,Lee Auman,Alabama,house,Democratic Party,False
7,District 4,Robert Aderholt,Alabama,house,,True
8,District 5,Peter Joffrion,Alabama,house,Democratic Party,False
9,District 5,Mo Brooks,Alabama,house,,True
10,District 6,Danner Kline,Alabama,house,Democratic Party,False
11,District 6,Gary Palmer,Alabama,house,,True
12,District 7,Terri Sewell,Alabama,house,,True
13,,Don Young,Alaska,house,Republican Party,True
14,,Alyse Galvin,Alaska,house,Democratic Party,False
15,,Greg Fitch,Alaska,house,Independent Party,False
16,,Sid Hill,Alaska,house,Independent Party,False
17,District 1,Tom O'Halleran,Arizona,house,Democratic Party,True
18,District 1,Wendy Rogers,Arizona,house,Republican Party,False
19,District 1,David Shock,Arizona,house,Independent Party,False
20,District 2,Ann Kirkpatrick,Arizona,house,Democratic Party,False
21,District 2,Lea Marquez Peterson,Arizona,house,Republican Party,False
22,District 2,Melissa Grable,Arizona,house,Republican Party,False
23,District 2,Jordan Flayer,Arizona,house,Independent Party,False
24,District 3,Raul Grijalva,Arizona,house,Democratic Party,True
25,District 3,Nicolas Pierson,Arizona,house,Republican Party,False
26,District 3,Jaime Vasquez,Arizona,house,,False
27,District 4,Paul Gosar,Arizona,house,Republican Party,True
28,District 4,David Brill,Arizona,house,Democratic Party,False
29,District 4,Haryaksha Gregor Knauer,Arizona,house,Green Party,False
30,District 5,Andy Biggs,Arizona,house,Republican Party,True
31,District 5,Joan Greene,Arizona,house,Democratic Party,False
32,District 6,David Schweikert,Arizona,house,Republican Party,True
33,District 6,Anita Malik,Arizona,house,Democratic Party,False
34,District 7,Ruben Gallego,Arizona,house,Democratic Party,True
35,District 7,Gary Swing,Arizona,house,Green Party,False
36,District 7,"James ""007"" Bond IV",Arizona,house,Republican Party,False
37,District 8,Debbie Lesko,Arizona,house,Republican Party,True
38,District 8,Hiral Tipirneni,Arizona,house,Democratic Party,False
39,District 8,Augie Beyer,Arizona,house,,False
40,District 8,Steven Hummel,Arizona,house,No Party Preference,False
41,District 9,Greg Stanton,Arizona,house,Democratic Party,False
42,District 9,Steve Ferrara,Arizona,house,Republican Party,False
43,District 9,Kiko Rex,Arizona,house,,False
44,District 1,Rick Crawford,Arkansas,house,Republican Party,True
45,District 1,Chintan Desai,Arkansas,house,Democratic Party,False
46,District 1,Elvis Presley,Arkansas,house,Libertarian Party,False
47,District 2,French Hill,Arkansas,house,,True
48,District 2,Clarke Tucker,Arkansas,house,Democratic Party,False
49,District 2,Joe Swafford,Arkansas,house,Libertarian Party,False
50,District 3,Steve Womack,Arkansas,house,Republican Party,True
51,District 3,Joshua Mahony,Arkansas,house,Democratic Party,False
52,District 3,Michael Kalagias,Arkansas,house,Libertarian Party,False
53,District 3,Josh Moody,Arkansas,house,,False
54,District 3,Jason Tate,Arkansas,house,,False
