,district,name,state
0,District 1,Robert Kennedy Jr.,Alabama
1,District 1,Bradley Byrne,Alabama
2,District 2,Tabitha Isner,Alabama
3,District 2,Martha Roby,Alabama
4,District 3,Mallory Hagan,Alabama
5,District 3,Mike Rogers,Alabama
6,District 4,Lee Auman,Alabama
7,District 4,Robert Aderholt,Alabama
8,District 5,Peter Joffrion,Alabama
9,District 5,Mo Brooks,Alabama
10,District 6,Danner Kline,Alabama
11,District 6,Gary Palmer,Alabama
12,District 7,Terri Sewell,Alabama
13,,Don Young,Alaska
14,,Alyse Galvin,Alaska
15,,Greg Fitch,Alaska
16,,Sid Hill,Alaska
17,District 1,Tom O&#39;Halleran,Arizona
18,District 1,Wendy Rogers,Arizona
19,District 1,David Shock,Arizona
20,District 2,Ann Kirkpatrick,Arizona
21,District 2,Lea Marquez Peterson,Arizona
22,District 2,Melissa Grable,Arizona
23,District 2,Jordan Flayer,Arizona
24,District 3,Raul Grijalva,Arizona
25,District 3,Nicolas Pierson,Arizona
26,District 3,Jaime Vasquez,Arizona
27,District 4,Paul Gosar,Arizona
28,District 4,David Brill,Arizona
29,District 4,Haryaksha Gregor Knauer,Arizona
30,District 5,Andy Biggs,Arizona
31,District 5,Joan Greene,Arizona
32,District 6,David Schweikert,Arizona
33,District 6,Anita Malik,Arizona
34,District 7,Ruben Gallego,Arizona
35,District 7,Gary Swing,Arizona
36,District 7,"James ""007"" Bond IV",Arizona
37,District 8,Debbie Lesko,Arizona
38,District 8,Hiral Tipirneni,Arizona
39,District 8,Augie Beyer,Arizona
40,District 8,Steven Hummel,Arizona
41,District 9,Greg Stanton,Arizona
42,District 9,Steve Ferrara,Arizona
43,District 9,Kiko Rex,Arizona
44,District 1,Rick Crawford,Arkansas
45,District 1,Chintan Desai,Arkansas
46,District 1,Elvis Presley,Arkansas
47,District 2,French Hill,Arkansas
48,District 2,Clarke Tucker,Arkansas
49,District 2,Joe Swafford,Arkansas
50,District 3,Steve Womack,Arkansas
51,District 3,Joshua Mahony,Arkansas
52,District 3,Michael Kalagias,Arkansas
53,District 3,Josh Moody,Arkansas
54,District 3,Jason Tate,Arkansas
55,District 4,Bruce Westerman,Arkansas
56,District 4,Hayden Shamel,Arkansas
57,District 4,Tom Canada,Arkansas
58,District 4,Lee McQueen,Arkansas
59,District 4,Jack Foster,Arkansas
60,District 4,Susan Ann Martin,Arkansas
61,District 1,Doug LaMalfa,California
62,District 1,Audrey Denney,California
63,District 2,Jared Huffman,California
64,District 2,Dale Mensing,California
65,District 3,John Garamendi,California
66,District 3,Charlie Schaupp,California
67,District 4,Tom McClintock,California
68,District 4,Jessica Morse,California
69,District 5,Mike Thompson,California
70,District 5,Anthony Mills,California
71,District 6,Doris Matsui,California
72,District 6,Jrmar Jefferson,California
73,District 7,Ami Bera,California
74,District 7,Andrew Grant,California
75,District 8,Paul Cook,California
76,District 8,Tim Donnelly,California
77,District 9,Jerry McNerney,California
78,District 9,Marla Livengood,California
79,District 10,Jeff Denham,California
80,District 10,Josh Harder,California
81,District 11,Mark DeSaulnier,California
82,District 11,John Fitzgerald,California
83,District 12,Nancy Pelosi,California
84,District 12,Lisa Remmer,California
85,District 13,Barbara Lee,California
86,District 13,Laura Wells,California
87,District 14,Jackie Speier,California
88,District 14,Cristina Osmeña,California
89,District 15,Eric Swalwell,California
90,District 15,Rudy Peters,California
91,District 16,Jim Costa,California
92,District 16,Elizabeth Heng,California
93,District 17,Ro Khanna,California
94,District 17,Ron Cohen,California
95,District 18,Anna Eshoo,California
96,District 18,Christine Russell,California
97,District 19,Zoe Lofgren,California
98,District 19,Justin Aguilera,California
99,District 20,Jimmy Panetta,California
100,District 20,Ronald Paul Kabat,California
101,District 21,David Valadao,California
102,District 21,TJ Cox,California
103,District 22,Devin Nunes,California
104,District 22,Andrew Janz,California
105,District 23,Kevin McCarthy,California
106,District 23,Tatiana Matta,California
107,District 24,Salud Carbajal,California
108,District 24,Justin Fareed,California
109,District 25,Stephen Knight,California
110,District 26,Julia Brownley,California
111,District 26,Antonio Sabato Jr.,California
112,District 27,Judy Chu,California
113,District 27,Bryan Witt,California
114,District 28,Adam Schiff,California
115,District 28,Johnny Nalbandian,California
116,District 29,Tony Cardenas,California
117,District 29,Benito Bernal,California
118,District 30,Brad Sherman,California
119,District 30,Mark Reed,California
120,District 31,Pete Aguilar,California
121,District 31,Sean Flynn,California
122,District 32,Grace Napolitano,California
123,District 32,Joshua Scott,California
124,District 33,Ted Lieu,California
125,District 33,Kenneth Wright,California
126,District 34,Jimmy Gomez,California
127,District 34,Kenneth Mejia,California
128,District 35,Norma Torres,California
129,District 35,Christian Valiente,California
130,District 36,Raul Ruiz,California
131,District 36,Kimberlin Brown Pelzer,California
132,District 37,Karen Bass,California
133,District 37,Ron Bassilian,California
134,District 38,Linda Sánchez,California
135,District 38,Ryan Downing,California
136,District 39,Gil Cisneros,California
137,District 39,Young Kim,California
138,District 40,Lucille Roybal-Allard,California
139,District 40,Rodolfo Cortes Barragan,California
140,District 41,Mark Takano,California
141,District 41,Aja Smith,California
142,District 42,Ken Calvert,California
143,District 42,Julia Peacock,California
144,District 43,Maxine Waters,California
145,District 43,Omar Navarro,California
146,District 44,Nanette Barragán,California
147,District 44,Aja Brown,California
148,District 45,Mimi Walters,California
149,District 45,Katie Porter,California
150,District 46,Lou Correa,California
151,District 46,Russell Lambert,California
152,District 47,Alan Lowenthal,California
153,District 47,John Briscoe,California
154,District 48,Dana Rohrabacher,California
155,District 48,Harley Rouda,California
156,District 49,Mike Levin,California
157,District 49,Diane Harkey,California
158,District 50,Duncan Hunter,California
159,District 50,Ammar Campa-Najjar,California
160,District 51,Juan Vargas,California
161,District 51,Juan Hidalgo Jr.,California
162,District 52,Scott Peters,California
163,District 52,Omar Qudrat,California
164,District 53,Susan Davis,California
165,District 53,Morgan Murtaugh,California
166,District 1,Diana DeGette,Colorado
167,District 1,Casper Stockham,Colorado
168,District 1,Raymon Doane,Colorado
169,District 1,Paul Daly,Colorado
170,District 1,Miguel Lopez,Colorado
171,District 2,Joe Neguse,Colorado
172,District 2,Peter Yu,Colorado
173,District 2,Roger Barris,Colorado
174,District 2,Nick Thomas,Colorado
175,District 2,Kevin Alumbaugh,Colorado
176,District 3,Scott Tipton,Colorado
177,District 3,Diane Mitsch Bush,Colorado
178,District 3,Gaylon Kent,Colorado
179,District 3,Mary Malarsie,Colorado
180,District 3,Allen Tompkins,Colorado
181,District 3,Bruce Lohmiller,Colorado
182,District 3,Gary Swing,Colorado
183,District 3,Richard Tetu,Colorado
184,District 4,Ken Buck,Colorado
185,District 4,Karen McCormick,Colorado
186,District 4,Richard Lyons Weil,Colorado
187,District 4,John Vigil,Colorado
188,District 5,Doug Lamborn,Colorado
189,District 5,Stephany Rose Spaulding,Colorado
190,District 5,Douglas Randall,Colorado
191,District 5,Lori Furstenberg,Colorado
192,District 5,John Croom,Colorado
193,District 6,Mike Coffman,Colorado
194,District 6,Jason Crow,Colorado
195,District 6,Kat Martin,Colorado
196,District 6,Dan Chapin,Colorado
197,District 6,Christopher Allen,Colorado
198,District 7,Ed Perlmutter,Colorado
199,District 7,Mark Barrington,Colorado
200,District 7,Jennifer Nackerud,Colorado
201,District 7,Nathan Clay,Colorado
202,District 7,Marcus France,Colorado
203,District 7,Steve Zorn,Colorado
204,District 7,Michael Haughey,Colorado
205,,Lisa Blunt Rochester,Delaware
206,,Scott Walker,Delaware
207,,Andrew Webb,Delaware
208,,Marvin Davis,Delaware
209,,Paul Johnston,Delaware
210,District 2,Neal Dunn,Florida
211,District 2,Bob Rackleff,Florida
212,District 3,Ted Yoho,Florida
213,District 3,Yvonne Hayes Hinson,Florida
214,District 4,John Rutherford,Florida
215,District 4,Ges Selmont,Florida
216,District 4,Joceline Berrios,Florida
217,District 4,Jason Bulger,Florida
218,District 5,Alfred Lawson,Florida
219,District 5,Virginia Fuller,Florida
220,District 6,Nancy Soderberg,Florida
221,District 6,Michael Waltz,Florida
222,District 7,Stephanie Murphy,Florida
223,District 7,Mike Miller,Florida
224,District 7,Jose Valdez,Florida
225,District 8,Bill Posey,Florida
226,District 8,Sanjay Patel,Florida
227,District 9,Darren Soto,Florida
228,District 9,Wayne Liebnitzky,Florida
229,District 10,Val Demings,Florida
230,District 11,Daniel Webster,Florida
231,District 11,Dana Cottrell,Florida
232,District 12,Gus M. Bilirakis,Florida
233,District 12,Chris Hunter,Florida
234,District 12,Angelika Purkis,Florida
235,District 13,Charlie Crist,Florida
236,District 13,George Buck,Florida
237,District 14,Kathy Castor,Florida
