district,name,state,chamber,party
District 1,Robert Kennedy Jr.,Alabama,house,
District 1,Bradley Byrne,Alabama,house,
District 2,Tabitha Isner,Alabama,house,
District 2,Martha Roby,Alabama,house,
District 3,Mallory Hagan,Alabama,house,
District 3,Mike Rogers,Alabama,house,
District 4,Lee Auman,Alabama,house,
District 4,Robert Aderholt,Alabama,house,
District 5,Peter Joffrion,Alabama,house,
District 5,Mo Brooks,Alabama,house,
District 6,Danner Kline,Alabama,house,
District 6,Gary Palmer,Alabama,house,
District 7,Terri Sewell,Alabama,house,
,Don Young,Alaska,house,
,Alyse Galvin,Alaska,house,
,Greg Fitch,Alaska,house,
,Sid Hill,Alaska,house,
District 1,Tom O'Halleran,Arizona,house,
District 1,Wendy Rogers,Arizona,house,
District 1,David Shock,Arizona,house,
District 2,Ann Kirkpatrick,Arizona,house,
District 2,Lea Marquez Peterson,Arizona,house,
District 2,Melissa Grable,Arizona,house,
District 2,Jordan Flayer,Arizona,house,
District 3,Raul Grijalva,Arizona,house,
District 3,Nicolas Pierson,Arizona,house,
District 3,Jaime Vasquez,Arizona,house,
District 4,Paul Gosar,Arizona,house,
District 4,David Brill,Arizona,house,
District 4,Haryaksha Gregor Knauer,Arizona,house,
District 5,Andy Biggs,Arizona,house,
District 5,Joan Greene,Arizona,house,
District 6,David Schweikert,Arizona,house,
District 6,Anita Malik,Arizona,house,
District 7,Ruben Gallego,Arizona,house,
District 7,Gary Swing,Arizona,house,
District 7,"James ""007"" Bond IV",Arizona,house,
District 8,Debbie Lesko,Arizona,house,
District 8,Hiral Tipirneni,Arizona,house,
District 8,Augie Beyer,Arizona,house,
District 8,Steven Hummel,Arizona,house,
District 9,Greg Stanton,Arizona,house,
District 9,Steve Ferrara,Arizona,house,
District 9,Kiko Rex,Arizona,house,
District 1,Rick Crawford,Arkansas,house,
District 1,Chintan Desai,Arkansas,house,
District 1,Elvis Presley,Arkansas,house,
District 2,French Hill,Arkansas,house,
District 2,Clarke Tucker,Arkansas,house,
District 2,Joe Swafford,Arkansas,house,
District 3,Steve Womack,Arkansas,house,
District 3,Joshua Mahony,Arkansas,house,
District 3,Michael Kalagias,Arkansas,house,
District 3,Josh Moody,Arkansas,house,
District 3,Jason Tate,Arkansas,house,
District 4,Bruce Westerman,Arkansas,house,
District 4,Hayden Shamel,Arkansas,house,
District 4,Tom Canada,Arkansas,house,
District 4,Lee McQueen,Arkansas,house,
District 4,Jack Foster,Arkansas,house,
District 4,Susan Ann Martin,Arkansas,house,
District 1,Doug LaMalfa,California,house,
District 1,Audrey Denney,California,house,
District 2,Jared Huffman,California,house,
District 2,Dale Mensing,California,house,
District 3,John Garamendi,California,house,
District 3,Charlie Schaupp,California,house,
District 4,Tom McClintock,California,house,
District 4,Jessica Morse,California,house,
District 5,Mike Thompson,California,house,
District 5,Anthony Mills,California,house,
District 6,Doris Matsui,California,house,
District 6,Jrmar Jefferson,California,house,
District 7,Ami Bera,California,house,
District 7,Andrew Grant,California,house,
District 8,Paul Cook,California,house,
District 8,Tim Donnelly,California,house,
District 9,Jerry McNerney,California,house,
District 9,Marla Livengood,California,house,
District 10,Jeff Denham,California,house,
District 10,Josh Harder,California,house,
District 11,Mark DeSaulnier,California,house,
District 11,John Fitzgerald,California,house,
District 12,Nancy Pelosi,California,house,
District 12,Lisa Remmer,California,house,
District 13,Barbara Lee,California,house,
District 13,Laura Wells,California,house,
District 14,Jackie Speier,California,house,
District 14,Cristina Osmeña,California,house,
District 15,Eric Swalwell,California,house,
District 15,Rudy Peters,California,house,
District 16,Jim Costa,California,house,
District 16,Elizabeth Heng,California,house,
District 17,Ro Khanna,California,house,
District 17,Ron Cohen,California,house,
District 18,Anna Eshoo,California,house,
District 18,Christine Russell,California,house,
District 19,Zoe Lofgren,California,house,
District 19,Justin Aguilera,California,house,
District 20,Jimmy Panetta,California,house,
District 20,Ronald Paul Kabat,California,house,
District 21,David Valadao,California,house,
District 21,TJ Cox,California,house,
District 22,Devin Nunes,California,house,
District 22,Andrew Janz,California,house,
District 23,Kevin McCarthy,California,house,
District 23,Tatiana Matta,California,house,
District 24,Salud Carbajal,California,house,
District 24,Justin Fareed,California,house,
District 25,Stephen Knight,California,house,
District 26,Julia Brownley,California,house,
District 26,Antonio Sabato Jr.,California,house,
District 27,Judy Chu,California,house,
District 27,Bryan Witt,California,house,
